temp,temp_max,temp_mean,viral_infected,id,viral_load_com,viral_load_standard,mass,immunedata,PO_avg,PO,hemocytes,melanization,gray_scale,percent_melanized,hatch_date,3rd_instar,innoculated,4th_instar,5th_instar,pupation,eclosion,survival,death_state,dod
5,37,,double_infection,VTG_422,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_423,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_424,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_425,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_426,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_427,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_428,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_429,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_430,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_431,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_432,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_433,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_434,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_435,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_436,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_437,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_438,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_439,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_440,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_441,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_442,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_443,,,,,,,,,,,,,,,,,,yes,,
5,37,,double_infection,VTG_444,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_445,,,,,,,,,,,,,,,,,,no ,,
5,37,,baseline_infection,VTG_446,,,,,,,,,,,,,,,,,,no,,
5,37,,baseline_infection,VTG_447,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_448,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_449,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_450,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_451,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_452,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_453,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_454,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_455,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_456,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_457,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_458,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_459,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_460,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_461,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_462,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_463,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_464,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_465,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_466,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_467,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_468,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_469,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_470,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_471,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_472,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_473,,,,,,,,,,,,,,,,,,yes,,
5,37,,baseline_infection,VTG_474,,,,,,,,,,,,,,,,,,yes,,
